55;D0037102;172.16.223.40;SB-FBP028;SB-FBP-VFU01;SB-FBP028;;VPMS Fuser 01;https://SB-FBP028-ILO.rbb-online.de;;;;;;;;;;;;;;;;;;VPMS Fuser;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;14;;;;;;;;;;;;;;
56;D0037118;;SB-FBP028;SB-FBP-VFU01;SB-FBP028;;VPMS Fuser 01;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;14;;;;;;;;;;;;;;
57;D0037103;172.16.223.41;SB-FBP029;--SPAREBLADE--;SB-FBP029;;Bladecenter Spare;https://SB-FBP029-ILO.rbb-online.de;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;15;;;;;;;;;;;;;;
58;D0037119;;SB-FBP029;--SPAREBLADE--;SB-FBP029;;Bladecenter Spare;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;15;;;;;;;;;;;;;;
59;D0037104;;SB-FBP030;(frei);SB-FBP030;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;15;;;;;;;;;;;;;;
60;D0037120;;SB-FBP030;(frei);SB-FBP030;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;15;;;;;;;;;;;;;;
61;D0037105;;SB-FBP031;(frei);SB-FBP031;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;4;;16;;;;;;;;;;;;;;
62;D0037121;;SB-FBP031;(frei);SB-FBP031;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;4;;16;;;;;;;;;;;;;;
63;D0037106;;SB-FBP032;(frei);SB-FBP032;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;1;Ausfallsicherheit;FBP.ESW.B3;3;;16;;;;;;;;;;;;;;
64;D0037122;;SB-FBP032;(frei);SB-FBP032;;Bladecenter Reserve;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B4;3;;16;;;;;;;;;;;;;;
65;D0037147;172.16.223.42;SB-FBP033;SB-FBP-VAU01;SB-FBP033;;VPMS Admin Unit 01;https://SB-FBP033-ILO.rbb-online.de;;;;;;;;;;;;;;17.08.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;4;;17;;;;;;;;;;;;;;
66;D0037148;;SB-FBP033;SB-FBP-VAU01;SB-FBP033;;VPMS Admin Unit 01;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;4;;17;;;;;;;;;;;;;;
67;D0037149;172.16.224.26;SB-FBP033;SB-FBP-VAU01;SB-FBP033;;VPMS Admin Unit 01;;;;;;;;;;;;;;;;;;;;A;;24;442;5;Ausfallsicherheit;FBP.ESW.B4;4;;31;;;;;;;;;;;;;;
68;D0037150;;SB-FBP033;SB-FBP-VAU01;SB-FBP033;;VPMS Admin Unit 01;;;;;;;;;;;;;;;;;;;;;;24;442;6;;FBP.ESW.B3;4;;31;;;;;;;;;;;;;;
69;D0036978;172.16.223.43;SB-FBP034;SB-FBP-VAU02;SB-FBP034;;VPMS Admin Unit 02;https://SB-FBP034-ILO.rbb-online.de;;;;;;;;;;;;;;17.08.2016;TPS_FBP;Echtzeitsuche;;VPMS AdminUnit;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;3;;17;;;;;;;;;;;;;;
70;D0036979;;SB-FBP034;SB-FBP-VAU02;SB-FBP034;;VPMS Admin Unit 02;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;3;;17;;;;;;;;;;;;;;
71;D0036980;172.16.224.27;SB-FBP034;SB-FBP-VAU02;SB-FBP034;;VPMS Admin Unit 02;;;;;;;;;;;;;;;;;;;;;;24;442;5;Ausfallsicherheit;FBP.ESW.B4;3;;32;;;;;;;;;;;;;;
72;D0036981;;SB-FBP034;SB-FBP-VAU02;SB-FBP034;;VPMS Admin Unit 02;;;;;;;;;;;;;;;;;;;;;;24;442;6;;FBP.ESW.B3;3;;31;;;;;;;;;;;;;;
73;D0037151;172.16.223.44;SB-FBP035;SB-FBP-VEC01;SB-FBP035;;VPMS Encoder 01;https://SB-FBP035-ILO.rbb-online.de;;;;;;;;;;;;;;16.12.2016;TPS_FBP;Echtzeitsuche;;VPMS Encoder;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;4;;18;;;;;;;;;;;;;;
74;D0037152;;SB-FBP035;SB-FBP-VEC01;SB-FBP035;;VPMS Encoder 01;;;;;;;;;;;;;;;;;;;;;;24;441;2;;FBP.ESW.B3;4;;18;;;;;;;;;;;;;;
75;D0036982;172.16.223.45;SB-FBP036;SB-FBP-VEC02;SB-FBP036;;VPMS Encoder 02;https://SB-FBP036-ILO.rbb-online.de;;;;;;;;;;;;;;17.08.2016;TPS_FBP;Echtzeitsuche;;VPMS Encoder;A;;24;441;1;Ausfallsicherheit;FBP.ESW.B4;3;;18;;;;;;;;;;;;;;
